Hours_Studied,Exam_Score,Parental_Involvement,Motivation_Level,Previous_Scores,Attendance,Access_to_Resources,Learning_Disabilities
28,68,High,Low,88,69,High,No
23,70,Medium,High,78,90,High,No
27,68,High,Medium,53,72,High,No
23,69,Medium,Medium,73,97,High,No
28,70,Medium,Medium,52,86,Medium,No
23,67,High,Low,68,77,Medium,Yes
19,69,Low,Medium,68,92,High,No
34,73,Low,Low,91,93,Medium,No
25,68,Medium,Low,87,72,Medium,No
23,67,High,Medium,95,74,Medium,No
12,67,Medium,Low,57,97,High,No
12,64,Medium,Medium,77,67,High,No
22,63,High,Medium,51,62,Medium,No
21,67,Low,Medium,91,78,High,No
16,70,Medium,Medium,68,92,High,No
21,71,High,High,53,91,Medium,No
30,74,Medium,High,66,97,High,No
24,70,Medium,High,64,81,High,No
13,59,Low,Medium,88,64,Low,No
19,64,Low,Medium,56,84,Medium,Yes
15,67,Low,Low,78,91,Medium,No
18,63,Medium,Medium,90,64,Medium,No
18,66,Low,Medium,87,67,High,No
17,62,Medium,Medium,97,60,Medium,No
12,65,Low,Medium,50,84,Medium,No
19,73,High,Medium,68,95,High,No
17,70,High,High,68,87,High,No
2,62,Medium,Low,52,99,Low,No
32,68,Medium,Medium,91,63,High,Yes
27,74,High,Medium,84,96,Low,No
20,66,High,High,70,73,High,No
13,69,Low,Medium,95,99,High,No
30,70,High,Medium,63,72,High,No
31,73,Medium,Medium,67,96,Low,No
21,69,Low,Low,98,95,Low,No
26,71,High,Medium,53,90,High,No
21,65,High,Low,89,83,Low,No
12,62,Medium,Medium,86,65,Low,No
18,69,High,Low,95,81,High,No
21,65,Low,High,55,74,Medium,No
17,68,Medium,Medium,99,92,Medium,No
19,65,Low,High,51,90,Low,Yes
19,72,Medium,Medium,67,96,High,No
20,67,High,Medium,54,61,High,No
20,68,Medium,Medium,53,92,Low,No
14,68,Low,Medium,98,98,Medium,No
16,66,Medium,Low,86,92,Medium,Yes
12,62,Medium,High,75,65,High,No
26,65,Medium,Medium,55,63,Medium,No
7,60,Low,High,76,61,High,No
27,70,High,Medium,66,85,Medium,Yes
28,68,Medium,Low,64,85,Medium,No
18,72,Medium,Low,81,99,High,No
4,63,Medium,Medium,90,76,Medium,No
18,63,Medium,Low,72,73,High,Yes
20,67,Low,Low,75,85,Medium,No
14,68,Medium,Low,83,93,Low,No
17,69,Medium,Low,56,97,Medium,No
29,75,High,Low,91,92,Medium,No
24,67,Low,High,92,77,Medium,No
14,69,High,Medium,77,85,High,No
10,65,Low,Low,59,94,Medium,No
18,65,Low,Medium,75,80,High,No
19,63,Medium,Low,55,69,Medium,No
23,65,Low,Medium,88,67,Medium,No
23,70,High,Low,66,89,High,No
32,66,Low,Medium,97,64,Low,No
25,63,Medium,Medium,71,70,Low,No
20,62,Medium,Low,89,72,Low,No
19,69,Medium,High,82,82,Medium,No
18,66,Medium,High,66,76,Medium,No
27,68,High,Medium,56,87,Low,No
16,62,Low,Low,90,62,Medium,No
20,64,High,Medium,88,65,Medium,Yes
20,65,Medium,Low,58,80,High,No
17,64,Medium,Low,62,73,High,No
12,65,Medium,High,88,72,Medium,No
22,65,Medium,Low,99,63,Medium,No
20,70,Low,Medium,92,96,Medium,No
23,71,Low,High,84,88,High,Yes
17,65,Medium,Low,96,65,Medium,No
27,67,High,Medium,64,63,Medium,No
15,68,Low,High,50,99,High,No
30,73,High,Low,66,87,High,No
10,64,Medium,Medium,99,77,High,Yes
23,71,High,Low,94,88,High,No
23,70,Medium,Medium,53,90,High,No
15,68,Low,Medium,75,91,High,No
23,68,High,Medium,54,79,Medium,No
28,68,Low,Medium,89,77,High,Yes
7,59,Medium,Low,69,60,High,No
23,74,Medium,Medium,96,97,Medium,No
5,62,Medium,Low,53,84,Medium,No
14,64,High,High,87,68,Low,No
17,70,High,Medium,63,97,Medium,No
13,69,High,Medium,76,100,Medium,No
19,69,Medium,High,74,95,Medium,No
32,74,Low,Medium,67,100,High,No
9,62,High,Low,82,70,Medium,No
14,70,Medium,High,83,94,Medium,No
29,71,Low,Medium,54,93,Medium,No
31,68,Medium,Low,80,69,Low,No
19,66,High,Low,86,64,Low,No
13,67,Low,High,54,99,Medium,No
33,71,High,Low,83,72,Medium,No
30,74,Medium,Medium,90,95,Medium,No
24,65,Low,Low,92,60,Medium,No
15,60,High,Medium,52,61,Low,No
20,69,High,Low,85,79,High,No
19,65,Medium,Low,90,70,Medium,No
22,69,Medium,Medium,70,88,Low,No
29,70,Medium,High,77,83,Low,No
25,65,High,Medium,63,63,Low,Yes
28,68,Medium,Low,75,76,Medium,No
22,67,High,Medium,58,67,High,No
24,70,Medium,Medium,69,92,Medium,No
29,68,Medium,Medium,65,77,Medium,No
13,62,High,Medium,62,64,High,No
20,67,High,Medium,74,79,Medium,No
17,66,High,Medium,92,64,High,No
11,60,Medium,Medium,62,65,Low,No
22,65,High,Low,83,70,Low,No
35,75,High,Medium,63,94,Medium,No
9,67,Low,Medium,57,97,Medium,No
20,71,Medium,Medium,97,93,High,No
24,63,Low,Medium,82,73,Low,Yes
21,67,High,Low,55,71,Medium,No
19,68,High,Low,82,82,Medium,No
12,65,High,Low,59,89,Low,No
21,72,Low,Medium,94,100,High,No
15,61,Medium,Medium,62,65,Medium,No
7,60,Low,Medium,90,62,High,No
27,72,High,Medium,60,88,High,No
26,72,Medium,Medium,78,93,Medium,No
20,70,Low,Medium,96,94,Medium,No
21,67,Low,High,65,87,Medium,Yes
26,71,Medium,Medium,54,98,Medium,No
21,66,Medium,Medium,78,80,Low,No
25,72,High,Low,59,97,High,No
18,70,Medium,Medium,86,99,Medium,No
28,71,Medium,Medium,80,94,Low,No
22,64,Low,High,67,72,Low,No
21,66,Medium,Medium,85,68,Medium,No
12,64,High,Low,62,82,Low,No
22,67,Medium,Medium,96,78,Medium,No
15,67,Low,High,67,95,Low,No
16,64,High,Medium,88,64,Low,No
15,61,Low,Low,63,70,Medium,No
33,67,Medium,Low,52,64,Medium,No
28,72,Medium,High,65,73,High,No
32,66,Low,Medium,55,75,Low,No
13,68,Low,High,73,85,High,No
20,64,High,Low,72,66,Low,No
12,69,High,High,68,94,High,No
16,65,Medium,Low,99,78,High,No
14,66,Low,Medium,62,97,High,Yes
27,73,High,Low,90,79,High,No
18,63,Medium,Low,72,71,Medium,No
26,66,Medium,High,67,66,Medium,No
24,65,Medium,Low,60,60,Medium,No
34,71,Medium,Low,82,81,Medium,No
28,68,Medium,Medium,91,76,Medium,No
27,69,Medium,Medium,98,84,Medium,No
14,63,High,Low,61,71,Low,No
26,66,Medium,Medium,56,67,Medium,No
22,69,Medium,Medium,66,91,Medium,No
19,69,Medium,Medium,73,98,Low,No
15,63,High,Medium,65,64,Medium,No
16,65,Low,Medium,99,66,High,No
20,67,High,High,98,62,Medium,No
25,70,Low,Medium,69,99,Medium,No
15,60,Medium,Medium,65,60,Low,No
15,68,High,Medium,70,95,Low,Yes
26,68,Medium,Medium,76,72,Medium,No
12,70,Low,Medium,87,98,High,No
18,68,Medium,High,94,73,High,No
20,69,High,Medium,73,86,High,Yes
21,62,Medium,Medium,64,63,Medium,No
19,64,High,Medium,66,70,Low,No
22,71,High,Low,85,91,Medium,No
24,68,Medium,Medium,78,81,Medium,No
24,72,High,High,74,97,Medium,No
14,64,Medium,Low,60,77,Medium,No
18,73,Medium,Medium,94,95,High,No
27,69,Medium,Low,89,78,High,No
25,70,Low,Medium,57,99,Medium,No
12,69,Medium,Medium,68,98,High,No
22,64,Medium,Medium,77,73,Low,No
8,66,Medium,Low,73,95,Medium,No
20,69,Medium,High,70,94,Medium,No
31,68,High,Low,86,68,Medium,No
14,65,Medium,Medium,53,85,Low,No
15,62,High,Medium,74,63,Low,No
25,75,High,Medium,63,93,High,No
11,60,Medium,Low,54,67,Medium,No
16,63,Medium,Medium,73,63,High,No
24,66,Medium,Medium,59,76,Low,No
16,67,High,Medium,63,83,Medium,No
19,68,Low,Medium,75,94,Medium,No
24,72,Medium,Medium,99,99,Medium,No
23,66,Low,High,84,78,Medium,No
22,63,Medium,Medium,64,62,Medium,No
18,71,Medium,Medium,69,90,High,No
22,67,Low,High,70,83,Medium,No
19,66,Medium,Medium,58,78,Medium,No
23,66,High,Medium,58,72,Medium,No
17,68,High,Medium,57,80,High,No
19,66,Medium,High,76,74,Medium,No
14,68,High,Medium,84,90,Medium,No
20,68,High,Medium,80,82,Medium,Yes
15,68,Low,Low,99,95,Medium,No
13,66,Medium,Low,56,82,High,No
22,66,High,Medium,99,70,Low,No
21,70,Medium,Low,73,94,High,No
25,68,High,Low,61,82,Medium,No
17,65,Medium,High,97,68,Medium,No
22,70,Low,High,73,85,High,No
23,66,Medium,Medium,67,74,Medium,No
23,68,Medium,Medium,61,94,High,Yes
15,64,Medium,High,63,78,Medium,Yes
21,69,Medium,Medium,99,89,Medium,No
22,65,Medium,Low,65,64,Medium,No
20,69,Medium,Low,99,76,High,No
7,66,Low,Low,67,99,High,No
21,68,High,Medium,62,92,Low,No
33,70,Medium,Medium,59,66,Medium,No
18,65,High,Medium,71,71,Medium,No
16,65,High,Medium,62,73,Medium,No
22,68,Medium,Medium,85,86,Low,No
22,67,Low,Low,62,90,Medium,No
27,72,High,Medium,92,90,High,No
12,70,High,High,92,80,High,No
24,72,Low,High,64,92,High,No
24,71,High,Low,88,77,High,No
19,64,Low,Low,93,65,Medium,No
22,69,Low,Medium,80,83,High,No
26,73,Medium,Medium,68,98,Medium,No
25,70,Low,Medium,72,92,High,No
13,68,High,Medium,89,83,Medium,No
25,71,High,Medium,65,86,Medium,No
20,71,Medium,Low,67,97,High,No
20,66,Low,High,58,77,High,No
20,68,Medium,Low,70,73,High,No
19,70,Medium,Low,54,99,High,No
27,72,Medium,Low,66,95,Medium,No
19,66,Low,High,69,73,High,No
13,65,Medium,Low,63,79,High,No
18,66,Medium,High,55,77,High,Yes
21,65,High,Low,76,66,Medium,No
27,72,High,Low,93,98,Low,No
24,68,Medium,Medium,67,76,Medium,No
15,68,Medium,High,62,95,Medium,No
35,67,Low,Medium,64,68,High,Yes
22,68,Medium,Low,93,82,Medium,No
28,67,High,High,76,61,Medium,No
19,69,Medium,Low,57,91,High,No
23,65,Low,Medium,85,83,Low,Yes
25,70,Medium,Medium,58,85,Medium,No
27,64,High,Low,53,62,Medium,No
26,66,Medium,Medium,63,68,Medium,No
25,64,Low,Medium,58,63,Medium,No
18,66,High,High,80,72,High,Yes
17,67,Medium,Medium,74,85,Medium,No
22,68,Medium,Medium,86,83,Low,No
26,71,Medium,Medium,76,84,Medium,No
19,67,High,Medium,71,82,Low,No
26,69,High,Medium,76,71,Medium,No
29,67,Medium,Low,72,70,Low,No
15,61,Low,Medium,52,65,High,Yes
15,68,Medium,Medium,84,94,Medium,No
19,67,Low,Medium,98,85,Low,No
22,64,Low,Low,71,67,Medium,No
17,63,Medium,Medium,71,67,Medium,No
28,72,Low,High,52,95,Medium,No
23,69,High,Low,95,90,Medium,No
20,66,Low,Medium,96,86,High,Yes
11,64,Medium,Low,91,76,Medium,Yes
12,61,Low,Medium,55,70,Medium,No
22,71,Medium,Medium,95,99,High,Yes
7,63,Low,Medium,51,92,Medium,No
26,65,Medium,Low,72,72,Low,No
19,71,High,Medium,75,94,Low,No
34,73,Medium,Low,88,72,High,No
19,65,Low,Low,90,77,Medium,No
19,66,Low,High,93,67,Medium,No
26,66,High,Low,74,64,Low,No
30,74,Medium,Medium,89,89,Medium,No
10,62,Medium,Low,53,71,Low,No
9,66,High,Low,72,93,Low,No
16,71,High,Medium,52,100,High,No
23,67,High,Medium,96,63,Medium,No
23,69,High,Low,98,79,Low,No
26,72,Medium,Medium,54,92,High,No
13,72,High,Medium,77,92,High,No
6,65,Medium,Medium,66,90,Medium,No
25,71,High,High,67,74,High,No
15,64,Medium,Medium,73,78,Medium,Yes
8,61,Medium,Low,56,84,Low,No
21,69,Medium,Low,59,99,Low,No
25,65,Low,Medium,79,73,Medium,No
19,69,Medium,High,51,97,Low,No
17,64,Medium,Low,80,71,Medium,No
19,69,Medium,High,66,100,Low,Yes
18,68,Medium,Low,92,87,Medium,No
12,63,Medium,Low,80,79,Low,No
16,66,Low,High,85,85,Medium,No
23,65,Medium,Low,56,71,Medium,No
22,66,High,Medium,63,71,Medium,No
21,67,Medium,Medium,100,65,Medium,No
14,62,Medium,Low,72,65,High,No
19,66,Medium,Medium,68,74,High,No
7,68,High,High,94,91,Medium,No
21,68,Medium,Medium,52,84,Medium,No
29,63,Low,Medium,77,64,Medium,No
11,66,High,Medium,61,94,Low,No
16,65,High,Low,68,84,Low,No
22,72,High,Medium,60,98,Medium,No
28,70,Medium,Medium,52,87,Medium,No
17,63,High,Medium,71,67,Low,No
16,65,Medium,Medium,89,79,Medium,No
8,65,High,Low,98,86,Low,No
21,66,High,Medium,81,61,High,No
32,68,High,High,69,61,Medium,No
22,64,Medium,Low,88,65,Low,No
20,66,High,Low,75,70,Medium,No
22,68,Low,Medium,68,77,Medium,No
20,64,Low,Medium,59,79,Medium,No
15,62,Medium,Low,90,66,Medium,No
25,67,Medium,Medium,75,87,Medium,Yes
21,67,Low,Medium,98,84,High,No
20,65,Medium,Low,90,72,Medium,No
14,59,Low,Medium,71,61,Medium,No
28,66,Medium,Low,87,63,High,No
24,68,High,Medium,73,76,Low,No
17,63,High,Medium,54,66,Medium,Yes
26,68,Medium,Medium,76,75,Low,No
17,68,High,Low,93,85,Low,No
15,66,Medium,Medium,93,82,Medium,No
15,63,High,Low,79,69,Low,No
9,61,Medium,Low,69,74,Low,No
23,68,High,Low,51,85,Medium,No
9,66,High,Low,66,94,Low,No
13,69,Medium,High,99,90,High,Yes
8,64,Medium,Medium,86,82,High,No
19,68,Medium,High,86,74,Medium,No
19,66,Medium,Low,88,75,High,No
18,68,Medium,Medium,81,95,Medium,Yes
14,62,Medium,Low,79,62,High,No
13,68,Medium,Low,73,100,Low,No
23,69,Medium,Medium,72,87,High,No
17,70,High,Medium,94,87,High,No
22,65,High,Low,70,62,Medium,No
15,68,Low,Medium,92,84,Medium,No
21,67,Medium,Low,92,79,High,No
28,64,Low,Medium,89,64,Medium,No
24,63,Low,Medium,52,71,Medium,No
18,67,Medium,Medium,57,96,Low,No
22,66,High,Medium,66,82,Low,No
19,67,High,Medium,92,77,Low,No
20,63,Medium,Medium,94,63,Medium,No
18,69,Medium,Medium,52,89,Medium,No
19,70,High,Medium,66,88,High,No
21,70,High,Medium,93,85,Medium,No
14,65,High,Medium,62,80,Medium,No
14,64,Low,Low,99,77,Low,No
12,67,Medium,High,74,84,High,No
10,61,Low,Medium,97,69,Medium,No
13,70,Medium,Medium,71,98,High,No
21,68,High,High,66,84,Low,Yes
15,64,Medium,High,68,72,Medium,No
23,68,High,Medium,94,78,Medium,Yes
20,68,Medium,Low,67,92,Low,No
8,63,High,Medium,83,66,High,No
24,65,Low,Low,73,72,Medium,No
25,69,Low,Medium,97,87,Medium,Yes
14,63,Medium,Medium,58,73,High,No
23,69,Low,Medium,71,92,Medium,No
15,61,High,Medium,56,65,Low,Yes
21,69,Low,Medium,79,91,High,No
12,62,High,Low,70,63,Medium,No
18,71,Medium,Medium,92,96,High,No
19,69,High,Medium,69,83,Low,No
18,68,High,High,75,74,Medium,No
13,61,Medium,Medium,70,69,Low,No
18,67,High,Medium,74,85,Medium,No
22,68,Medium,Medium,51,80,High,No
20,72,Medium,Medium,91,100,Medium,No
21,71,High,Medium,67,99,Low,No
16,67,Medium,Low,86,85,Medium,No
27,68,Medium,Medium,53,78,Medium,Yes
13,64,Medium,Medium,76,80,Medium,No
23,73,Medium,High,95,87,High,No
27,65,Low,Medium,70,64,Medium,No
23,67,Low,High,60,73,High,No
19,63,High,Low,55,63,Medium,No
17,63,Medium,Medium,93,63,Medium,Yes
26,69,Medium,High,62,68,Medium,No
11,68,High,Medium,99,79,High,No
14,68,Medium,Medium,62,91,Medium,No
18,69,High,Medium,74,79,High,No
27,73,High,High,73,73,High,No
22,66,High,High,53,63,High,No
14,68,Medium,Medium,77,82,Medium,No
18,65,Medium,Medium,84,71,Medium,No
16,67,Medium,High,87,85,Medium,No
16,70,Medium,Low,76,99,Medium,No
26,66,Medium,Medium,91,64,High,No
12,64,Medium,High,88,68,High,No
30,69,Medium,Medium,60,79,High,No
25,71,Low,Medium,70,99,Medium,No
27,68,Medium,Medium,57,91,Low,No
17,68,High,Low,57,96,Medium,No
19,66,Low,High,86,73,Medium,No
11,70,Low,Medium,77,100,High,No
17,65,Medium,Medium,80,64,High,No
23,63,Medium,Medium,87,62,Low,No
28,70,Low,Medium,64,94,Medium,No
13,67,Low,Medium,70,97,Medium,No
18,63,Medium,Medium,80,64,Medium,Yes
19,64,High,Medium,55,65,Medium,No
12,60,Low,Medium,92,61,Medium,Yes
24,62,Medium,Low,67,64,Medium,No
16,65,Medium,High,83,68,High,No
19,69,Low,Medium,100,99,Low,No
17,68,Medium,Low,74,87,High,No
15,66,Medium,Medium,61,91,Medium,No
20,72,High,Low,61,91,High,No
19,68,Medium,Medium,53,81,High,No
18,69,Medium,Medium,88,92,Medium,No
16,65,Medium,Low,65,84,Medium,No
22,65,High,Low,59,73,Medium,No
30,70,Low,Low,86,82,Medium,No
21,67,Medium,High,65,81,Low,No
26,73,High,Medium,80,93,Medium,Yes
12,70,High,Medium,71,99,High,No
21,66,Medium,Medium,67,76,Medium,No
13,68,Medium,Medium,74,91,Medium,No
11,61,Medium,Medium,66,64,Medium,No
16,70,Medium,Low,94,91,High,No
27,66,Medium,Low,54,75,Low,No
26,67,High,Medium,52,62,Medium,No
21,69,High,High,70,75,High,No
11,64,Medium,Low,59,84,Low,No
19,65,High,Low,87,65,Medium,No
22,75,High,Low,68,97,Medium,No
21,63,High,Medium,63,63,Medium,No
9,69,High,Low,68,97,Medium,No
15,68,Medium,Low,61,88,High,Yes
20,66,Medium,Medium,65,73,Low,No
23,66,Low,Low,78,76,Medium,No
7,66,Low,Low,93,90,Medium,No
19,68,Medium,Medium,69,84,Medium,No
21,65,Low,Medium,66,87,Medium,No
25,70,Medium,High,89,76,High,No
24,68,Medium,Medium,51,80,High,No
23,70,Medium,Low,65,100,Medium,Yes
15,61,Low,Medium,73,69,Medium,No
9,61,Low,Medium,80,77,Low,Yes
18,64,Low,Low,58,72,High,No
26,71,Low,Low,72,91,Medium,No
28,72,High,Low,78,91,Medium,No
24,66,Medium,High,76,72,High,No
23,63,Medium,High,79,63,Medium,No
22,62,Low,Medium,83,60,Low,No
17,65,Medium,Low,69,77,Medium,Yes
19,66,Medium,Medium,53,76,Medium,No
30,72,Low,Medium,53,100,High,No
14,68,High,Medium,93,79,Medium,No
30,70,High,High,84,70,Low,No
18,70,Medium,Medium,88,96,Medium,No
28,73,Medium,High,96,80,High,No
12,67,Medium,High,88,84,High,No
24,65,Medium,Medium,85,64,Low,No
16,65,High,Medium,83,75,Low,No
12,65,Low,Medium,63,98,Medium,Yes
21,70,Medium,Medium,98,84,Medium,No
26,66,Medium,Medium,77,74,Low,No
15,65,Medium,Medium,61,85,Medium,No
11,68,High,Medium,60,96,High,No
19,66,Medium,Medium,91,71,Medium,No
19,65,Low,High,63,80,Medium,No
23,71,Medium,Low,52,98,High,Yes
26,65,Low,Medium,71,67,Medium,No
20,70,Low,High,91,89,Medium,No
31,69,Medium,Low,71,85,Medium,Yes
21,71,Medium,High,90,87,Medium,No
18,67,Medium,Medium,91,74,High,No
10,64,Medium,High,93,73,Medium,Yes
18,66,Medium,Medium,85,69,High,No
26,66,Low,Low,63,77,Medium,No
23,65,High,Medium,55,68,Medium,No
13,61,Medium,Low,77,60,Medium,Yes
21,72,Medium,High,51,99,High,No
24,70,High,Medium,73,77,Medium,No
29,71,Medium,Low,55,99,Medium,No
25,72,High,Low,94,83,High,Yes
20,67,Medium,Medium,82,68,High,No
22,72,High,Medium,82,92,Low,No
27,70,Low,Low,70,91,High,No
12,62,Medium,Medium,71,65,High,No
18,71,High,Low,65,96,Medium,No
15,62,Low,Low,72,68,Medium,No
22,68,Medium,Low,79,85,Medium,No
27,74,High,High,59,99,Medium,No
16,68,High,Medium,63,95,High,No
6,64,Medium,Medium,75,98,Low,Yes
18,65,High,Medium,69,74,Medium,No
25,66,Medium,Medium,91,64,Low,No
23,68,Medium,Low,91,68,High,No
23,67,Medium,Low,67,80,Medium,No
18,67,Medium,Low,73,92,Medium,Yes
12,63,Medium,Low,99,66,High,No
23,71,Medium,Medium,91,86,High,No
15,63,Medium,Low,61,73,High,No
33,66,Medium,Medium,64,74,Low,Yes
23,67,High,Low,54,86,Medium,Yes
17,66,Medium,Medium,84,79,High,No
16,70,Medium,High,66,92,Medium,No
19,64,High,Low,77,66,Medium,No
19,71,Medium,Low,88,92,Medium,No
27,68,High,Medium,92,63,High,No
21,64,Low,Low,66,68,Medium,No
16,66,Medium,Low,62,86,Medium,No
31,72,Low,Low,92,94,Medium,No
20,66,Low,High,69,70,Medium,No
25,70,Medium,Medium,91,73,High,No
16,66,Medium,High,57,81,Medium,No
22,68,High,Medium,96,68,Medium,No
22,70,Medium,High,74,92,Low,No
9,64,Medium,High,59,91,Medium,No
32,71,High,High,77,66,High,No
28,72,Medium,Low,94,79,High,No
18,71,High,Medium,69,91,Medium,No
13,63,Medium,Medium,59,73,Low,No
22,68,Low,Medium,79,85,Medium,No
21,63,Medium,Medium,92,62,Medium,Yes
22,66,Medium,Medium,56,84,Medium,No
21,63,Medium,High,52,66,Medium,No
23,72,High,High,53,93,High,No
29,70,Medium,High,62,74,High,Yes
23,65,Medium,Medium,50,71,Medium,No
14,67,Medium,Medium,71,94,High,Yes
28,66,Low,Medium,85,62,High,No
30,69,Medium,Medium,86,76,Medium,Yes
39,73,Medium,High,82,75,High,No
13,66,Medium,High,65,71,High,No
21,70,Medium,Medium,87,96,Medium,Yes
8,68,High,High,79,90,High,No
23,65,Low,Medium,93,63,Medium,No
17,67,Medium,Medium,74,89,Medium,No
32,71,High,High,59,81,Medium,No
15,70,High,Medium,82,96,High,No
10,61,Medium,Low,58,73,Low,No
17,69,High,Medium,98,83,Medium,No
8,63,Low,Medium,85,80,Medium,No
25,67,Medium,Low,88,80,Medium,No
8,65,High,Medium,84,78,Medium,No
20,63,High,High,55,68,Medium,Yes
8,67,Medium,High,73,90,Medium,No
18,66,Low,Medium,83,78,High,No
30,72,Low,Medium,61,98,Medium,No
22,68,Medium,Low,84,70,High,No
15,67,High,Medium,91,87,Medium,No
20,72,Medium,Medium,64,98,Medium,No
20,66,Medium,Medium,60,87,High,Yes
23,73,Medium,Medium,94,95,Medium,No
12,71,High,Low,50,93,High,No
24,65,Low,High,63,74,Low,No
4,65,Medium,Medium,70,84,Medium,No
16,65,High,Medium,84,66,Medium,No
17,68,Medium,Low,100,81,Medium,No
24,70,High,Medium,69,69,Medium,No
20,68,Medium,Low,97,90,Low,No
12,62,Low,High,68,81,Medium,No
14,66,Medium,High,85,76,Medium,No
21,65,Medium,Low,58,71,Medium,No
20,71,Medium,Medium,73,100,Medium,No
17,61,Medium,Low,94,63,Medium,No
17,63,Medium,High,66,62,Medium,No
24,67,Medium,Low,55,69,High,No
17,70,Medium,Low,76,99,Medium,No
19,73,Medium,Low,72,99,Medium,No
33,72,Medium,Medium,61,86,Medium,No
11,69,Medium,Low,95,95,Medium,No
9,61,Low,Medium,80,69,Medium,No
25,71,Medium,Medium,67,99,Medium,No
16,64,Medium,Medium,100,66,Medium,No
18,61,Low,Medium,57,64,Medium,No
15,63,Medium,Low,92,64,Medium,No
18,65,Medium,High,62,83,Low,No
30,73,High,Low,62,91,Medium,No
25,68,Medium,High,75,75,Low,Yes
25,72,Medium,Medium,83,99,Medium,No
12,62,Low,Medium,85,77,Low,No
13,63,High,Low,51,66,Medium,No
15,68,Medium,Medium,83,87,Medium,No
26,74,High,Low,94,93,High,No
23,68,Medium,Medium,83,78,Medium,No
19,67,Medium,Medium,63,84,Medium,No
20,65,Medium,Low,75,71,Medium,No
16,63,Low,Low,82,86,Low,No
21,71,Medium,High,57,99,Low,No
25,62,Medium,Medium,77,62,Low,No
10,66,High,High,74,95,Low,No
22,65,Low,Low,67,82,Medium,Yes
26,66,High,Low,81,70,Medium,No
18,71,High,Medium,82,98,Low,No
24,68,Low,High,99,79,High,No
37,72,Medium,Medium,71,73,High,No
19,66,Medium,Medium,77,67,High,No
22,66,Medium,Low,58,70,Low,No
16,67,Low,High,77,93,High,No
21,71,Low,Medium,52,85,High,No
23,72,High,Low,57,97,High,No
21,64,Low,Medium,59,69,Medium,No
14,60,Low,Low,82,65,High,No
21,64,High,Medium,78,60,Low,No
29,70,Medium,Medium,90,80,Low,No
23,72,Medium,Medium,73,100,Low,No
26,68,Medium,Medium,74,88,High,No
19,62,Medium,Medium,58,72,Low,No
24,68,Medium,Medium,87,95,Low,No
22,72,High,Medium,50,91,High,No
14,60,Medium,Medium,71,61,Low,No
22,72,Medium,Low,59,93,High,No
14,65,Low,Medium,89,72,High,No
16,63,Medium,High,84,66,Low,No
21,66,Medium,Medium,85,69,Low,No
22,65,Low,Low,57,79,Medium,No
13,65,Medium,Medium,83,77,High,No
26,67,Low,Medium,85,72,High,No
23,65,Medium,Low,50,67,Medium,No
16,67,High,Medium,66,90,Medium,No
11,66,Medium,Low,54,100,Medium,No
19,71,Low,High,84,91,High,Yes
17,64,Medium,Medium,61,72,Medium,No
21,61,Low,Medium,63,70,Low,No
18,65,High,Low,54,69,High,No
8,61,Medium,Medium,74,65,Medium,No
18,64,High,Low,52,82,Low,No
18,69,High,Low,92,84,High,No
24,71,Medium,High,51,88,Medium,No
16,70,High,High,53,87,Medium,No
30,70,High,High,82,72,Medium,No
9,62,Medium,Low,96,73,Medium,No
28,73,Medium,Medium,95,87,Medium,No
19,66,Medium,High,54,74,High,No
25,66,Medium,Medium,64,69,Medium,No
20,66,Low,Medium,76,75,Medium,No
27,66,Medium,Medium,51,71,Medium,No
18,65,Medium,Medium,76,64,Medium,No
13,67,Low,High,72,93,Low,No
19,66,Medium,Medium,96,69,Medium,No
21,63,Medium,Low,64,63,Medium,No
27,71,Medium,Medium,82,90,Medium,No
14,63,Medium,Low,71,68,High,No
24,67,High,Low,72,76,Low,No
16,63,Medium,Medium,82,63,Medium,No
19,66,High,Medium,98,69,Medium,No
20,72,Medium,Low,93,92,Medium,No
11,70,High,High,82,92,Medium,No
15,62,High,Medium,73,68,Low,No
28,69,High,Medium,71,73,Medium,No
25,66,Low,Medium,89,65,Medium,No
20,64,Medium,Medium,61,63,Medium,No
21,70,Low,Medium,79,100,Medium,No
18,67,Medium,High,75,86,Medium,No
28,71,Medium,Low,82,82,High,No
19,69,Medium,High,59,91,Medium,No
21,70,High,Medium,85,94,Low,No
27,70,Medium,Medium,81,92,Medium,No
15,61,High,Medium,59,61,Low,No
29,65,Low,Medium,72,67,High,No
11,67,Medium,Medium,84,86,High,No
30,70,Medium,Low,95,75,Low,No
18,67,Medium,Medium,56,99,Medium,No
19,68,Low,Medium,50,87,High,No
9,69,High,Medium,58,98,High,No
17,65,Medium,Medium,99,68,Medium,No
14,68,High,Medium,88,95,Medium,No
16,67,High,Medium,81,73,Medium,No
19,70,Medium,Medium,57,100,High,Yes
26,68,High,High,71,66,High,No
21,69,High,Medium,86,81,Medium,No
22,70,High,Low,95,92,Low,No
13,67,High,Medium,69,77,High,No
15,70,High,Medium,100,79,High,No
31,74,Medium,High,57,99,Low,No
16,63,Medium,Low,69,77,Low,No
30,72,High,Medium,94,84,Medium,Yes
19,62,High,Low,82,62,Medium,Yes
20,71,Medium,Medium,91,94,Medium,No
26,68,Medium,Medium,95,86,Low,No
28,72,Medium,High,75,76,High,No
19,64,Medium,High,62,61,High,No
18,64,Low,Medium,85,84,Low,No
20,63,Low,Medium,78,61,High,No
